subject,day,level,time,f_sd,cst_sd,fpc_sd,f_cst_r,fpc_cst_r,f_fpc_r,w
SFU04,stretch,submax35,before,0.001239176,0.689166412,0.008892164,0.412712316,0.875654984,0.613250226,6
SFU04,stretch,submax35,pre,0.001196206,0.763163781,0.008660511,0.735398043,0.870365229,0.658482013,1
SFU04,stretch,submax35,pre,0.000973269,0.525525848,0.0065602,0.610999154,0.639992626,0.319341146,2
SFU04,stretch,submax35,pre,0.001294787,0.660162564,0.006087796,0.541693462,0.338408892,0.361502681,3
SFU04,stretch,submax35,pre,0.001312331,0.649590317,0.008067995,0.644641009,0.614751962,0.358760888,4
SFU04,stretch,submax35,pre,0.001074917,0.670624473,0.00718456,0.67172093,0.748489765,0.479655009,5
SFU04,stretch,submax35,pre,0.001281466,0.50208563,0.007849073,0.653062026,0.774051362,0.638435052,6
SFU04,stretch,submax35,post,0.00090891,0.376523053,0.006422093,0.078681962,0.603531771,-0.035957428,1
SFU04,stretch,submax35,post,0.001364706,0.486884185,0.004754578,0.550610238,0.189929701,-0.030099131,2
SFU04,stretch,submax35,post,0.001206871,0.619801341,0.006153283,0.602648416,0.60540779,0.267631839,3
SFU04,stretch,submax35,post,0.001129125,0.627266402,0.008135696,0.744956569,0.881839557,0.841524963,4
SFU04,stretch,submax35,post,0.001035986,0.44288795,0.007583809,0.66706781,0.3994071,0.360164863,5
SFU04,stretch,submax35,post,0.000980642,0.648323414,0.005221751,0.510023407,0.155369141,0.353928134,6
SFU04,control,submax10,before,0.0003471,1.116363601,0.008808109,0.469298633,0.848850852,0.521066151,1
SFU04,control,submax10,before,0.000321586,1.02183677,0.009025117,0.503378179,0.93970682,0.555890117,2
SFU04,control,submax10,before,0.00026154,1.017695824,0.009277993,0.419040533,0.891590449,0.446128323,3
SFU04,control,submax10,before,0.000260851,1.014114018,0.009602338,0.442665013,0.917388181,0.378972504,4
SFU04,control,submax10,before,0.00027124,0.827918704,0.009140716,0.512445036,0.885599245,0.572562265,5
SFU04,control,submax10,before,0.000726953,1.777302117,0.009592933,0.671000351,0.884532228,0.728498325,6
SFU04,control,submax10,pre,0.000203894,0.381025525,0.008626251,0.742190195,0.849819055,0.660044594,1
SFU04,control,submax10,pre,0.000264984,0.441036224,0.007917667,0.533267181,0.8294006,0.686213413,2
SFU04,control,submax10,pre,0.000192288,0.438465075,0.007701066,0.448941237,0.722216178,0.304652313,3
SFU04,control,submax10,pre,0.000202029,0.576914745,0.009540088,0.623683583,0.893991814,0.664191298,4
SFU04,control,submax10,pre,0.000152965,0.339285934,0.007848149,0.279600182,0.746952078,0.157664482,5
SFU04,control,submax10,pre,0.000227326,0.519186948,0.009315315,0.601263712,0.845226586,0.703398694,6
SFU04,control,submax10,post,0.000627049,1.15065948,0.008881012,0.330056921,0.826256028,0.608463504,1
SFU04,control,submax10,post,0.000277205,1.107753049,0.008001503,0.442024126,0.738978951,0.612650818,2
